Company,Date Joined,Industry,Country,City,Continent,Year Founded,Funding,Funding_Numeric ($B),Valuation (March) ($B),Select Investors (March),Valuation (November) ($B),Select Investors (November),Years to Unicorn,Most Recent Valuation
Dremio,2021-01-06,Data Management And Analytics,United States,Santa Clara,North America,2015,$410M,0.41000000000000003,2,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners",2.0,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners",6,2.0
Druva,2019-06-20,Data Management And Analytics,United States,Sunnyvale,North America,2007,$475M,0.47500000000000003,2,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",2.0,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",12,2.0
Everlaw,2020-03-10,Internet Software And Services,United States,Oakland,North America,2010,$299M,0.299,2,"K9 Ventures, Menlo Ventures, Andreessen Horowitz",2.0,"K9 Ventures, Menlo Ventures, Andreessen Horowitz",10,2.0
Exotec,2022-01-17,Hardware,France,Croix,Europe,2015,$450M,0.45,2,"Breega Capital, Iris Capital, 360 Capital Partners",2.0,"Breega Capital, Iris Capital, 360 Capital Partners",7,2.0
Formlabs,2018-08-01,Hardware,United States,Somerville,North America,2011,$251M,0.251,2,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",2.0,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",7,2.0
Guoquan Shihui,2021-03-17,Consumer And Retail,China,Shanghai,Asia,2017,$523M,0.523,2,"Tiantu Capital, CMB International Capital, Vision Knight Capital",2.0,"Tiantu Capital, CMB International Capital, Vision Knight Capital",4,2.0
Hive,2021-04-21,Artificial Intelligence,United States,San Francisco,North America,2013,$121M,0.121,2,"Tomales Bay Capital, Bain & Company, General Catalyst",2.0,"Tomales Bay Capital, Bain & Company, General Catalyst",8,2.0
HuiMin,2016-09-05,E-commerce And Direct-to-consumer,China,Beijing,Asia,2013,$517M,0.517,2,"Zheshang Venture Capital, GP Capital, Western Capital Management",2.0,"Zheshang Venture Capital, GP Capital, Western Capital Management",3,2.0
ISN,2020-12-17,"Supply Chain, Logistics, And Delivery",United States,Dallas,North America,2001,Unknown,0.5504649805447471,2,Blackstone,2.0,Blackstone,19,2.0
Iterable,2021-06-15,Internet Software And Services,United States,San Francisco,North America,2013,$342M,0.342,2,"CRV, Blue Cloud Ventures, Index Ventures",2.0,"CRV, Blue Cloud Ventures, Index Ventures",8,2.0
Kajabi,2021-05-04,Internet Software And Services,United States,Irvine,North America,2010,$550M,0.55,2,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity",2.0,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity",11,2.0
Kaseya,2019-03-27,Cybersecurity,United States,Miami,North America,2000,$545M,0.545,2,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund",2.0,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund",19,2.0
Keep,2020-05-19,Mobile And Telecommunications,China,Beijing,Asia,2014,$614M,0.614,2,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital",2.0,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital",6,2.0
KRY,2021-04-27,Health,Sweden,Stockholm,Europe,2014,$569M,0.5690000000000001,2,"Index Ventures, Creandum, Accel",2.0,"Index Ventures, Creandum, Accel",7,2.0
Loggi,2019-06-05,"Supply Chain, Logistics, And Delivery",Brazil,Sao Paulo,South America,2013,$507M,0.507,2,"Qualcomm Ventures, SoftBank Group, Monashees+",2.0,"Qualcomm Ventures, SoftBank Group. Monashees+",6,2.0
LTK,2021-11-22,Internet Software And Services,United States,Dallas,North America,2011,$315M,0.315,2,"SoftBank Group, Maverick Capital",2.0,"SoftBank Group, Maverick Capital",10,2.0
Lunar,2021-07-12,Fintech,Denmark,Aarhus,Europe,2015,$448M,0.448,2,"SEED Capital, Greyhound Capital, Socii Capital",2.0,"SEED Capital, Greyhound Capital, Socii Capital",6,2.0
Mafengwo,2019-05-23,Travel,China,Beijing,Asia,2010,$503M,0.503,2,"Qiming Venture Partners, Capital Today, General Atlantic",2.0,"Qiming Venture Partners, Capital Today, General Atlantic",9,2.0
Magic Leap,2014-10-21,Hardware,United States,Plantation,North America,2010,$3B,3.0,2,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz",2.0,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz",4,2.0
Misfits Market,2021-04-21,E-commerce And Direct-to-consumer,United States,Pennsauken,North America,2018,$527M,0.527,2,"Accel, D1 Capita Partners, Greenoaks Capital Management",2.0,"Accel, D1 Capita Partners, Greenoaks Capital Management",3,2.0
Modern Treasury,2021-10-06,Fintech,United States,San Francisco,North America,2018,$183M,0.183,2,"Benchmark, Altimeter Capital, Quiet Capital",2.0,"Benchmark, Altimeter Capital, Quiet Capital",3,2.0
MURAL,2021-07-20,Internet Software And Services,United States,San Francisco,North America,2011,$192M,0.192,2,"Insight Partners, Tiger Global Management, Gradient Ventures",2.0,"Insight Partners, Tiger Global Management, Gradient Ventures",10,2.0
Mynt,2021-11-01,Fintech,Philippines,Taguig City,Asia,2015,$475M,0.47500000000000003,2,"Insight Partners, Warburg Pincus, Ayala Corporation",2.0,"Insight Partners, Warburg Pincus, Ayala Corporation",6,2.0
Neo4j,2021-06-17,Data Management And Analytics,United States,San Mateo,North America,2007,$408M,0.40800000000000003,2,"Eight Roads Ventures, One Peak Partners, Creandum",2.0,"Eight Roads Ventures, One Peak Partners, Creandum",14,2.0
Netlify,2021-11-17,Internet Software And Services,United States,San Francisco,North America,2014,$202M,0.202,2,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures",2.0,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures",7,2.0
OCSiAl,2019-03-04,Other,Luxembourg,Leudelange,Europe,2012,$285M,0.28500000000000003,2,"A&NN, Rusnano",2.0,"A&NN, Rusnano",7,2.0
Opay,2021-08-23,Fintech,Nigeria,Lagos,Africa,2018,$570M,0.5700000000000001,2,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China",2.0,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China",3,2.0
Pipe,2021-05-19,Fintech,United States,Miami,North America,2019,$566M,0.5660000000000001,2,"next47, MaC Venture Capital, FinVC",2.0,"next47, MaC Venture Capital, FinVC",2,2.0
Preferred Networks,2018-05-17,Artificial Intelligence,Japan,Tokyo,Asia,2014,$147M,0.147,2,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",2.0,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",4,2.0
Quora,2017-04-21,Internet Software And Services,United States,Mountain View,North America,2009,$226M,0.226,2,"Y Combinator, Matrix Partners, Benchmark",2.0,"Y Combinator, Matrix Partners, Benchmark",8,2.0
Redis Labs,2020-08-25,Data Management And Analytics,United States,Mountain View,North America,2011,$356M,0.356,2,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures",2.0,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures",9,2.0
SmartNews,2019-08-05,Mobile And Telecommunications,Japan,Tokyo,Asia,2012,$410M,0.41000000000000003,2,"Japan Post Capital, Globis Capital Partners, Atomico",2.0,"Japan Post Capital, Globis Capital Partners, Atomico",7,2.0
Spring Health,2021-09-16,Health,United States,New York,North America,2016,$296M,0.296,2,"Rethink Impact, Work-Bench, RRE Ventures",2.0,"Rethink Impact, Work-Bench, RRE Ventures",5,2.0
StarkWare,2021-11-17,Cybersecurity,Israel,Netanya,Asia,2018,$161M,0.161,2,"Sequoia Capital, Paradigm, Pantera Capital",8.0,"Sequoia Capital, Paradigm, Pantera Capital",3,8.0
SWORD Health,2021-11-22,Health,United States,New York,North America,2015,$296M,0.296,2,"Khosla Ventures, Green Innovations, Founders Fund",2.0,"Khosla Ventures, Green Innovations, Founders Fund",6,2.0
Tier,2021-10-25,Travel,Germany,Berlin,Europe,2018,$587M,0.587,2,"Northzone Ventures, White Star Capital, Novator Partners",2.0,"Northzone Ventures, White Star Capital, Novator Partners",3,2.0
Trendy Group International,2012-02-13,Consumer And Retail,Hong Kong,Kowloon,Asia,1999,$200M,0.2,2,L Capital Partners,2.0,L Capital Partners,13,2.0
Unqork,2020-10-06,Fintech,United States,New York,North America,2017,$365M,0.365,2,"Blackrock, capitalG, World Lab Innovation",2.0,"Blackrock, capitalG, World Lab Innovation",3,2.0
VerbIT,2021-06-08,Artificial Intelligence,United States,New York,North America,2016,$432M,0.432,2,"ClalTech, Vertex Ventures, Oryzn Capital",2.0,"ClalTech, Vertex Ventures, Oryzn Capital",5,2.0
Virta Health,2020-12-02,Health,United States,San Francisco,North America,2015,$373M,0.373,2,"Caffeinated Capital, Obvious Ventures, Venrock",2.0,"Caffeinated Capital, Obvious Ventures, Venrock",5,2.0
Xinchao Media,2018-04-09,Internet Software And Services,China,Chengdu,Asia,2007,$768M,0.768,2,"JD.com, Baidu, Vision Plus Capital",2.0,"JD.com, Baidu, Vision Plus Capital",11,2.0
Xingyun Group,2020-09-24,E-commerce And Direct-to-consumer,China,Shenzhen,Asia,2015,$950M,0.9500000000000001,2,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings",2.0,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings",5,2.0
XtalPi,2021-08-11,Artificial Intelligence,China,Shenzhen,Asia,2014,$786M,0.786,2,"Tencent Holdings, 5Y Capital, Sequoia Capital China",2.0,"Tencent Holdings, 5Y Capital, Sequoia Capital China",7,2.0
Zilch,2021-11-10,Fintech,United Kingdom,London,Europe,2018,$339M,0.339,2,"Gauss Ventures, Ventura Capital, dmg ventures",2.0,"Gauss Ventures, Ventura Capital, dmg ventures",3,2.0
56PINGTAI,2021-01-25,"Supply Chain, Logistics, And Delivery",China,Shanghai,Asia,2013,$188M,0.188,1,"QF Capital, QC Capital, Unicom Innovation Venture Capital",1.08,"QF Capital, QC Capital, Unicom Innovation Venture Capital",8,1.08
Alzheon,2020-09-30,Health,United States,Framingham,North America,2013,$94M,0.094,1,"ARCH Venture Partners, Ally Bridge Group",1.31,"ARCH Venture Partners, Ally Bridge Group",7,1.31
Aprogen,2019-05-31,Health,South Korea,Seongnam-Si,Asia,2000,$62M,0.062,1,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical",1.04,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical",19,1.04
Axtria,2021-05-13,Data Management And Analytics,United States,Berkeley Heights,North America,2009,$206M,0.20600000000000002,1,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India",1.0,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India",12,1.0
Cell C,2017-08-07,Mobile And Telecommunications,South Africa,Midrand,Africa,2000,$547M,0.547,1,"Blue Label Telecoms, Net1 UEPS Technologies",1.0,"Blue Label Telecoms, Net1 UEPS Technologies",17,1.0
China Cloud,2018-06-11,Hardware,China,Wuxi,Asia,2010,$523M,0.523,1,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management",1.0,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management",8,1.0
CredAvenue,2022-03-07,Fintech,India,Chennai,Asia,2017,$227M,0.227,1,"Insight Partners, B Capital Group, Lightspeed Venture Partners",1.3,"Insight Partners, B Capital Group, Lightspeed Venture Partners",5,1.3
DeepBlue Technology,2018-04-16,Artificial Intelligence,China,Shanghai,Asia,2014,$79M,0.079,1,"DESUN Capital, Yunfeng Capital, Meridian Capital",1.35,"DESUN Capital, Yunfeng Capital, Meridian Capital",4,1.35
dMed Biopharmaceutical,2021-07-12,Health,China,Shanghai,Asia,2016,$214M,0.214,1,"Qiming Venture Partners, Vivo Capital, Sequoia Capital China",1.0,"Qiming Venture Partners, Vivo Capital, Sequoia Capital China",5,1.0
Einride,2021-12-31,Auto And Transportation,Sweden,Stockholm,Europe,2016,$151M,0.151,1,"Temasek, BUILD Capital Partners, Northzone Ventures",1.44,"Temasek,	BUILD Capital Partners, Northzone Ventures",5,1.44
EQRx,2021-01-11,Health,United States,Cambridge,North America,2020,$700M,0.7000000000000001,1,"Nextech Invest, Casdin Capital, Google Ventures",1.23,"Nextech Invest, Casdin Capital, Google Ventures",1,1.23
Everly Health,2020-12-03,E-commerce And Direct-to-consumer,United States,Austin,North America,2015,$231M,0.231,1,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures",1.3,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures",5,1.3
Fair,2018-12-20,Auto And Transportation,United States,Santa Monica,North America,2016,$2B,2.0,1,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group",1.2,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group",2,1.2
Flipboard,2015-07-22,Internet Software And Services,United States,Palo Alto,North America,2010,$211M,0.211,1,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners",1.32,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners",5,1.32
Globality,2019-01-22,Artificial Intelligence,United States,Menlo Park,North America,2015,$310M,0.31,1,SoftBank Group,1.0,SoftBank Group,4,1.0
Hosjoy,2018-10-18,E-commerce And Direct-to-consumer,China,Nanjing,Asia,2009,$139M,0.139,1,"U.S.-China Green Fund, Founder H Fund, Richland Equities",1.0,"U.S.-China Green Fund, Founder H Fund, Richland Equities",9,1.0
Huisuanzhang,2021-05-24,Fintech,China,Beijing,Asia,2015,$227M,0.227,1,"IDG Capital, Gaocheng Capital, Chuanrong Capital",1.28,"IDG Capital, Gaocheng Capital, Chuanrong Capital",6,1.28
HuJiang,2015-10-29,Edtech,China,Shanghai,Asia,2001,$223M,0.223,1,"China Minsheng Investment, Baidu, Wanxin Media",1.0,"China Minsheng Investment, Baidu, Wanxin Media",14,1.0
Hyperchain,2021-04-11,Fintech,China,Hangzhou,Asia,2016,$249M,0.249,1,"Yinhong Equity Investment Fund, E Fund, Ideal International",1.0,"Yinhong Equity Investment Fund, E Fund, Ideal International",5,1.0
iTutorGroup,2015-11-18,Edtech,China,Shanghai,Asia,1998,$315M,0.315,1,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital",1.0,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital",17,1.0
JimuBox,2015-04-21,Fintech,China,Beijing,Asia,2013,$131M,0.131,1,"Matrix Partners China, Ventech China, Shunwei Capital Partners",1.0,"Matrix Partners China, Ventech China, Shunwei Capital Partners",2,1.0
Juma Peisong,2018-11-26,"Supply Chain, Logistics, And Delivery",China,Chengdu,Asia,2011,$281M,0.281,1,"Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital",1.45,"Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital",7,1.45
Justworks,2020-01-28,Internet Software And Services,United States,New York,North America,2012,$143M,0.14300000000000002,1,"Index Ventures, Thrive Capital, Bain Capital Ventures",1.43,"Index Ventures, Thrive Capital, Bain Capital Ventures",8,1.43
Keenon Robotics,2021-09-15,"Supply Chain, Logistics, And Delivery",China,Shanghai,Asia,2010,$229M,0.229,1,"Yunqi Partners, SoftBank Group, iVision Ventures",1.0,"Yunqi Partners, SoftBank Group, iVision Ventures",11,1.0
LifeMiles,2015-07-13,Other,Colombia,Bogota,South America,2011,$344M,0.34400000000000003,1,Advent International,1.15,Advent International,4,1.15
LinkSure Network,2015-01-01,Mobile And Telecommunications,China,Shanghai,Asia,2013,$52M,0.052000000000000005,1,Haitong Kaiyuan Investment,1.0,,2,1.0
MobiKwik,2021-10-13,Fintech,India,Gurugram,Asia,2009,$249M,0.249,1,"Sequoia Capital India, The Times Group, GMO VenturePartners",1.0,"Sequoia Capital India, The Times Group, GMO VenturePartners",12,1.0
Modernizing Medicine,2017-05-10,Health,United States,Boca Raton,North America,2010,$394M,0.394,1,"Warburg Pincus, Summit Partners, Sands Capital",1.0,"Warburg Pincus, Summit Partners, Sands Capital",7,1.0
OVH,2016-08-15,Other,France,Roubaix,Europe,1999,$1B,1.0,1,"KKR, TowerBrook Capital Partners",1.1,"KKR, TowerBrook Capital Partners",17,1.1
Phenom People,2021-04-07,Internet Software And Services,United States,Ambler,North America,2011,$163M,0.163,1,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures",1.4,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures",10,1.4
Pipa Coding,2021-03-25,Edtech,China,Beijing,Asia,2017,$268M,0.268,1,"Source Code Capital, XVC Venture Capital, Hillhouse Capital Management",1.2,"Source Code Capital, XVC Venture Capital, Hillhouse Capital Management",4,1.2
Qingting FM,2021-06-02,Internet Software And Services,China,Shanghai,Asia,2011,$164M,0.164,1,"China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group",1.1,"China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group",10,1.1
Rad Power Bikes,2021-10-28,Auto And Transportation,United States,Seattle,North America,2007,$329M,0.329,1,"Durable Capital Partners, Cercano Management, T. Rowe Price",1.4,"Durable Capital Partners, Cercano Management, T. Rowe Price",14,1.4
Shukun Technology,2021-08-16,Artificial Intelligence,China,Beijing,Asia,2017,$211M,0.211,1,"Marathon Venture Partners, Huagai Capital, China Creation Ventures",1.46,"Marathon Venture Partners, Huagai Capital, China Creation Ventures",4,1.46
Shulan Health,2021-03-01,Health,China,Hangzhou,Asia,2015,$43M,0.043000000000000003,1,Qiming Venture Partners,1.24,Qiming Venture Partners,6,1.24
SITECH DEV,2019-05-16,Other,China,Guiyang,Asia,2017,Unknown,0.5504649805447471,1,China Prosperity Capital,1.0,China Prosperity Capital,2,1.0
Snapdeal,2014-05-21,E-commerce And Direct-to-consumer,India,New Delhi,Asia,2008,$2B,2.0,1,"SoftBankGroup, Blackrock, Alibaba Group",1.0,"SoftBankGroup, Blackrock, Alibaba Group",6,1.0
SumUp,2019-07-16,Fintech,United Kingdom,London,Europe,2011,$1B,1.0,1,"American Express Ventures, Goldman Sachs, Bain Capital Credit",8.5,"American Express Ventures, Goldman Sachs, Bain Capital Credit",8,8.5
TalkingData,2021-01-06,Mobile And Telecommunications,China,Beijing,Asia,2013,$310M,0.31,1,"N5 Capital, CR Capital Mgmt, JD Digits",1.3,"N5 Capital, CR Capital Mgmt, JD Digits",8,1.3
TUNGEE,2021-12-15,Artificial Intelligence,China,Guangzhou,Asia,2016,$171M,0.171,1,"UNITY VENTURES, Qiming Venture Partners, GGV Capital",1.3,"UNITY VENTURES, Qiming Venture Partners, GGV Capital",5,1.3
UISEE Technology,2021-01-25,"Supply Chain, Logistics, And Delivery",China,Beijing,Asia,2016,$154M,0.154,1,"Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures",1.08,"Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures",5,1.08
Valgen Medtech,2021-05-06,Health,China,Hangzhou,Asia,2015,$188M,0.188,1,"Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners",1.43,"Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners",6,1.43
Vectra Networks,2021-04-29,Artificial Intelligence,United States,San Jose,North America,2011,$352M,0.352,1,"IA Ventures, Khosla Ventures, AME Cloud Ventures",1.2,"IA Ventures, Khosla Ventures, AME Cloud Ventures",10,1.2
Venafi,2020-12-10,Cybersecurity,United States,Salt Lake City,North America,2000,$174M,0.17400000000000002,1,"Pelion Venture Partners, Foundation Capital, Thoma Bravo",1.15,"Pelion Venture Partners, Foundation Capital, Thoma Bravo",20,1.15
Wacai,2018-07-18,Mobile And Telecommunications,China,Hangzhou,Asia,2009,$369M,0.369,1,"Qiming Venture Partners, China Broadband Capital, CDH Investments",1.0,"Qiming Venture Partners, China Broadband Capital, CDH Investments",9,1.0
WeBull,2021-02-18,Fintech,China,Changsha,Asia,2016,$230M,0.23,1,"Bojiang Capital, Hongdao Capital, Mobai Capital",1.0,"Bojiang Capital, Hongdao Capital, Mobai Capital",5,1.0
WTOIP,2018-04-08,Internet Software And Services,China,Guangzhou,Asia,2013,$307M,0.307,1,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital",1.27,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital",5,1.27
Xiaobing,2021-07-12,Fintech,China,Beijing,Asia,2020,Unknown,0.5504649805447471,1,"NetEase Capital, Northern Light Venture Capital, Microsoft",1.0,"NetEase Capital, Northern Light Venture Capital, Microsoft",1,1.0
Xiaoe Tech,2021-06-15,Internet Software And Services,China,Shenzhen,Asia,2015,$149M,0.149,1,"GGV Capital, Hillhouse Capital Management, IDG Capital",1.0,"GGV Capital, Hillhouse Capital Management, IDG Capital",6,1.0
Yiguo,2016-11-09,"Supply Chain, Logistics, And Delivery",China,Shanghai,Asia,2005,$800M,0.8,1,"Alibaba Group, KKR, Goldman Sachs",1.2,"Alibaba Group, KKR, Goldman Sachs",11,1.2
Yimidida,2019-01-14,"Supply Chain, Logistics, And Delivery",China,Shanghai,Asia,2015,$554M,0.554,1,"Source Code Capital, Global Logistic Properties, K2VC",1.17,"Source Code Capital, Global Logistic Properties, K2VC",4,1.17
Yipin Shengxian,2019-03-11,E-commerce And Direct-to-consumer,China,Hefei,Asia,2017,$658M,0.658,1,"Eastern Bell Capital, Capital Today, Longzhu Capital",1.49,"Eastern Bell Capital, Capital Today, Longzhu Capital",2,1.49
Ynsect,2019-02-21,Other,France,Evry,Europe,2011,$393M,0.393,1,"Astanor Ventures, Upfront Ventures, IDInvest Partners",1.0,"Astanor Ventures, Upfront Ventures, IDInvest Partners",8,1.0
Hello TransTech,2018-06-01,Auto And Transportation,China,Shanghai,Asia,2016,$2B,2.0,1,"Ant Financial Services Group, GGV Capital",5.0,"Ant Financial Services Group, GGV Capital",2,5.0
Miaoshou Doctor,2019-06-27,E-commerce And Direct-to-consumer,China,Beijing,Asia,2015,$947M,0.9470000000000001,1,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",4.25,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",4,4.25
ECARX,2020-10-26,Auto And Transportation,China,Wuhan,Asia,2016,$394M,0.394,1,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund",3.31,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund",4,3.31
Eat Just,2017-11-30,Consumer And Retail,United States,San Francisco,North America,2011,$440M,0.44,1,"Khosla Ventures, Horizons Ventures, Founders Fund",2.59,"Khosla Ventures, Horizons Ventures, Founders Fund",6,2.59
Trumid,2020-07-15,Fintech,United States,New York,North America,2014,$660M,0.66,1,"T. Rowe Price, Dragoneer Investment Group, BlackRock",2.4,"T. Rowe Price, Dragoneer Investment Group, BlackRock",6,2.4
Qualia,2020-12-21,Fintech,United States,San Francisco,North America,2015,$160M,0.16,1,"8VC, Menlo Ventures, Tiger Global Management",2.17,"8VC, Menlo Ventures, Tiger Global Management",5,2.17
Beisen,2021-05-11,Internet Software And Services,China,Beijing,Asia,2002,$388M,0.388,1,"Matrix Partners China, Sequoia Capital China, Genesis Capital",2.0,"Matrix Partners China, Sequoia Capital China, Genesis Capital",19,2.0
Earnix,2021-02-21,Fintech,Israel,Giv'atayim,Asia,2001,$98M,0.098,1,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners",2.0,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners",20,2.0
Kujiale,2019-10-25,Internet Software And Services,China,Hangzhou,Asia,2011,$235M,0.23500000000000001,1,"GGV Capital, IDG Capital, Linear Venture",2.0,"GGV Capital, IDG Capital, Linear Venture",8,2.0
Orca Security,2021-03-23,Cybersecurity,United States,Portland,North America,2019,$632M,0.632,1,"YL Ventures, Redpoint Ventures, GGV Capital",1.8,"YL Ventures, Redpoint Ventures, GGV Capital",2,1.8
Apus Group,2015-01-16,Mobile And Telecommunications,China,Beijing,Asia,2014,$116M,0.116,1,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital",1.73,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital",1,1.73
Forte Labs,2021-05-12,Fintech,United States,San Francisco,North America,2018,$910M,0.91,1,"Iris Capital, Accel, Elaia Partners",1.73,"Iris Capital, Accel, Elaia Partners",3,1.73
CureFit,2021-11-10,Health,India,Bengaluru,Asia,2016,$665M,0.665,1,"Chiratae Ventures, Accel, Kalaari Capital",1.5,"Chiratae Ventures, Accel, Kalaari Capital",5,1.5
DT Dream,2017-06-08,Data Management And Analytics,China,Hangzhou,Asia,2015,$267M,0.267,1,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital",1.5,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital",2,1.5
JOLLY Information Technology,2018-05-29,E-commerce And Direct-to-consumer,China,Hangzhou,Asia,2008,$96M,0.096,1,"Legend Capital, CDH Investments, Sequoia Capital China",1.5,"Legend Capital, CDH Investments, Sequoia Capital China",10,1.5
K Health,2021-01-19,Health,United States,New York,North America,2016,$271M,0.271,1,"Max Ventures, Mangrove Capital Partners, 14W",1.5,"Max Ventures, Mangrove Capital Partners, 14W",5,1.5
Mofang Living,2016-04-13,E-commerce And Direct-to-consumer,China,Shanghai,Asia,2009,$650M,0.65,1,"Warburg Pincus, Aviation Industry Corporation of China",1.5,"Warburg Pincus, Aviation Industry Corporation of China",7,1.5
Spendesk,2022-01-18,Fintech,France,Paris,Europe,2015,$314M,0.314,1,"Index Ventures, Eight Roads Ventures, General Atlantic",1.5,"Index Ventures, Eight Roads Ventures, General Atlantic",7,1.5
TaxBit,2021-08-04,Fintech,United States,Draper,North America,2018,$236M,0.23600000000000002,1,"Insight Partners, Coinbase Ventures, PayPal Ventures",1.5,"Insight Partners, Coinbase Ventures, PayPal Ventures",3,1.5
XiaoZhu,2017-11-01,Travel,China,Beijing,Asia,2012,$572M,0.5720000000000001,1,"Morningside Ventures, Capital Today, JOY Capital",1.5,"Morningside Ventures, Capital Today, JOY Capital",5,1.5
Yijiupi,2018-09-20,Consumer And Retail,China,Beijing,Asia,2014,$511M,0.511,1,"Source Code Capital, Meituan Dianping, Tencent Holdings",1.5,"Source Code Capital, Meituan Dianping, Tencent Holdings",4,1.5
YunQuNa,2021-06-29,"Supply Chain, Logistics, And Delivery",China,Shanghai,Asia,2015,$207M,0.20700000000000002,1,"Source Code Capital, Coatue Management, DCM Ventures",1.5,"Source Code Capital, Coatue Management, DCM Ventures",6,1.5
Bordrin Motors,2019-06-03,Auto And Transportation,China,Shanghai,Asia,2016,$362M,0.362,1,"China Grand Prosperity Investment, CSC Group",1.48,"China Grand Prosperity Investment, CSC Group",3,1.48
Aleo,2022-02-07,Cybersecurity,United States,San Francisco,North America,2019,$228M,0.228,1,"Slow Ventures, Andreessen Horowitz, SoftBank Group",1.45,"Slow Ventures, Andreessen Horowitz, SoftBank Group",3,1.45
Coocaa,2018-03-16,Hardware,China,Shenzhen,Asia,2006,$218M,0.218,1,"Baidu, Tencent Holdings",1.45,"Baidu, Tencent Holdings",12,1.45
Gymshark,2020-08-14,E-commerce And Direct-to-consumer,United Kingdom,Solihull,Europe,2012,$262M,0.262,1,General Atlantic,1.45,General Atlantic,8,1.45
Ouyeel,2019-06-27,Internet Software And Services,China,Shanghai,Asia,2015,$432M,0.432,1,Taigang Venture Capital,1.45,Taigang Venture Capital,4,1.45
SonderMind,2021-07-28,Health,United States,Denver,North America,2014,$183M,0.183,1,"Kickstart Fund, General Catalyst, Drive Capital",1.42,"Kickstart Fund, General Catalyst, Drive Capital",7,1.42
Astranis Space Technologies,2021-04-14,Mobile And Telecommunications,United States,San Francisco,North America,2015,$303M,0.303,1,"Refactor Capital, Andreessen Horowitz, Fifty Years Fund",1.4,"Refactor Capital, Andreessen Horowitz, Fifty Years Fund",6,1.4
